Propuesta,Link,Empresa,Fecha
Drupal Developer - Certificado,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-drupal-developer-certificado-en-montevideo-4E35E015CCB2D66B,Applica,18 mayo
Estudiantes de Ingenieria en Telecomunicaciones - Para Huawei Technologies,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-estudiantes-de-ingenieria-en-telecomunicaciones-para-huawei-technologies-en-montevideo-4919A9C2375B2FF5,Manpower Group,18 mayo
.Net Developer  - 1era. exp. Laboral,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-net-developer--1era-exp-laboral-en-montevideo-0ACDBCE275DC4453,Applica,18 mayo
Service Desk Assistant Level 1,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-service-desk-assistant-level-1-en-montevideo-0A25E9E25D51C5C4,The Hackett Group UY,18 mayo
Technical Support Representative - Weekend,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-technical-support-representative-weekend-en-montevideo-0ADC47B43DFB45B8,Synapsis,18 mayo
Desarrolladores Juniors. Con o sin experiencia laboral - Oficina en Zonamerica,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-desarrolladores-juniors-con-o-sin-experiencia-laboral-oficina-en-zonamerica-en-montevideo-9BF3F9F8B6AA5D2E,Travelgenio,18 mayo
PHP DEVELOPER - ingles ,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-php-developer-ingles--en-montevideo-3BDE8FB438269BA0,Applica,18 mayo
QA tester - Ingles avanzado,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-qa-tester-ingles-avanzado-en-montevideo-4659B427D267972A,Applica,18 mayo
React Native Developer  - Ingles,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-react-native-developer--ingles-en-montevideo-61A9A20B059C3B59,Applica,18 mayo
.Net Engineer - Ingles avanzado,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-net-engineer-ingles-avanzado-en-montevideo-2F96564E9D11B350,Applica,18 mayo
